,f1,accuracy,precision,recall,dataset,model
0,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
1,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
2,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
3,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
4,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
5,0.6451054998270495,0.6481481481481481,0.6534090909090908,0.6481481481481481,Wine,sax
6,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
7,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
8,0.5834502103786816,0.5925925925925926,0.6015037593984962,0.5925925925925926,Wine,sax
9,0.4935064935064935,0.5185185185185185,0.523076923076923,0.5185185185185185,Wine,sax
10,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
11,0.55,0.5555555555555556,0.5584415584415584,0.5555555555555556,Wine,fc
12,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
13,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
14,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
15,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
16,0.5727554179566563,0.5740740740740741,0.575,0.5740740740740741,Wine,fc
17,0.5531034482758621,0.5555555555555556,0.5568022440392706,0.5555555555555556,Wine,fc
18,0.5903448275862069,0.5925925925925926,0.5946704067321178,0.5925925925925926,Wine,fc
19,0.55,0.5555555555555556,0.5584415584415584,0.5555555555555556,Wine,fc
20,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
21,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
22,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
23,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
24,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
25,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
26,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
27,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
28,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
29,0.3333333333333333,0.5,0.25,0.5,Wine,xxxs_p2s
